id,product,price,date
1,shampoo,10.99,2024-01-01
2,soap,5.49,2024-01-01
3,toothpaste,3.99,2024-01-01
4,rice,22.9,2024-01-01
5,milk,6.99,2024-01-01
6,bread,7.49,2024-01-02
7,eggs,14.99,2024-01-02
8,coffee,18.9,2024-01-02
9,soap,5.49,2024-01-02
10,sugar,7.99,2024-01-02
11,detergent,8.79,2024-01-03
12,pasta,6.49,2024-01-03
13,tomato_sauce,4.29,2024-01-03
14,milk,6.99,2024-01-03
15,bananas,6.49,2024-01-03
16,apples,7.99,2024-01-04
17,oranges,8.99,2024-01-04
18,bread,7.49,2024-01-04
19,yogurt,4.99,2024-01-04
20,soap,5.49,2024-01-04
21,chicken_breast,24.9,2024-01-05
22,rice,22.9,2024-01-05
23,beans,9.99,2024-01-05
24,olive_oil,28.9,2024-01-05
25,milk,6.99,2024-01-05
26,cheese,19.9,2024-01-06
27,butter,8.99,2024-01-06
28,eggs,14.99,2024-01-06
29,coffee,18.9,2024-01-06
30,shampoo,10.99,2024-01-06
31,lettuce,4.49,2024-01-07
32,tomatoes,9.99,2024-01-07
33,onions,6.99,2024-01-07
34,potatoes,8.49,2024-01-07
35,carrots,5.99,2024-01-07
36,cereal,16.9,2024-01-08
37,oats,10.49,2024-01-08
38,milk,6.99,2024-01-08
39,cookies,6.99,2024-01-08
40,soda,7.99,2024-01-08
41,water,2.99,2024-01-09
42,orange_juice,9.99,2024-01-09
43,tea,9.49,2024-01-09
44,sugar,7.99,2024-01-09
45,salt,2.49,2024-01-09
46,ground_beef,29.9,2024-01-10
47,pasta,6.49,2024-01-10
48,tomato_sauce,4.29,2024-01-10
49,cheese,19.9,2024-01-10
50,soap,5.49,2024-01-10
51,fish_fillet,34.9,2024-01-11
52,rice,22.9,2024-01-11
53,olive_oil,28.9,2024-01-11
54,lettuce,4.49,2024-01-11
55,oranges,8.99,2024-01-11
56,shampoo,10.99,2024-01-12
57,toothpaste,3.99,2024-01-12
58,soap,5.49,2024-01-12
59,detergent,8.79,2024-01-12
60,milk,6.99,2024-01-12
61,bread,7.49,2024-01-13
62,eggs,14.99,2024-01-13
63,butter,8.99,2024-01-13
64,yogurt,4.99,2024-01-13
65,coffee,18.9,2024-01-13
66,apples,7.99,2024-01-14
67,bananas,6.49,2024-01-14
68,oranges,8.99,2024-01-14
69,water,2.99,2024-01-14
70,soda,7.99,2024-01-14
71,chicken_breast,24.9,2024-01-15
72,rice,22.9,2024-01-15
73,beans,9.99,2024-01-15
74,onions,6.99,2024-01-15
75,tomatoes,9.99,2024-01-15
76,pasta,6.49,2024-01-16
77,tomato_sauce,4.29,2024-01-16
78,cheese,19.9,2024-01-16
79,olive_oil,28.9,2024-01-16
80,bread,7.49,2024-01-16
81,cereal,16.9,2024-01-17
82,milk,6.99,2024-01-17
83,cookies,6.99,2024-01-17
84,chocolate,5.49,2024-01-17
85,soap,5.49,2024-01-17
86,orange_juice,9.99,2024-01-18
87,tea,9.49,2024-01-18
88,sugar,7.99,2024-01-18
89,flour,7.29,2024-01-18
90,baking_powder,3.49,2024-01-18
91,ground_beef,29.9,2024-01-19
92,fish_fillet,34.9,2024-01-19
93,lettuce,4.49,2024-01-19
94,potatoes,8.49,2024-01-19
95,carrots,5.99,2024-01-19
96,shampoo,10.99,2024-01-20
97,detergent,8.79,2024-01-20
98,milk,6.99,2024-01-20
99,bread,7.49,2024-01-20
100,eggs,14.99,2024-01-20
